Node,Depth,Value,Alpha,Beta
A4,8,-Infinity,-4,-3
B3,9,Infinity,-4,-3
A2,10,Infinity,-4,-3
A2,10,Infinity,-4,-3
A3,10,-1,-4,-3
A2,10,-1,-4,-3
A4,10,0,-4,-3
A2,10,-1,-4,-3
A5,10,-2,-4,-3
A2,10,-2,-4,-3
A2,10,-2,-4,-3
A3,10,0,-4,-3
A2,10,-2,-4,-3
A4,10,1,-4,-3
A2,10,-2,-4,-3
A5,10,1,-4,-3
A2,10,-2,-4,-3
B3,9,-2,-4,-3
A3,10,2,-4,-3
B3,9,-2,-4,-3
A5,10,3,-4,-3
B3,9,-2,-4,-3
A4,8,-2,-4,-3
B2,7,-3,-4,-3
A5,8,-Infinity,-4,-3
B3,9,Infinity,-4,-3
A2,10,Infinity,-4,-3
A2,10,Infinity,-4,-3
A3,10,-1,-4,-3
A2,10,-1,-4,-3
A4,10,Infinity,-4,-3
A2,10,Infinity,-4,-3
A3,10,-3,-4,-3
A2,10,-3,-4,-3
A5,10,-7,-4,-3
A2,10,-7,-4,-3
A4,10,-7,-4,-3
A2,10,-7,-4,-3
A2,10,-7,-4,-3
B3,9,-7,-4,-3
A5,8,-7,-4,-3
B4,9,-Infinity,-4,-3
B3,9,Infinity,-4,-3
A2,10,Infinity,-4,-3
A2,10,Infinity,-4,-3
A3,10,0,-4,-3
A2,10,0,-4,-3
A4,10,Infinity,-4,-3
A2,10,Infinity,-4,-3
A3,10,-2,-4,-3
A2,10,-2,-4,-3
A5,10,-4,-4,-3
A2,10,-4,-4,-3
A4,10,-4,-4,-3
A2,10,-4,-4,-3
A2,10,-4,-4,-3
B3,9,-4,-4,-3
B4,9,-4,-4,-3
B5,9,Infinity,-4,-3
A2,10,Infinity,-4,-3
A2,10,Infinity,-4,-3
A3,10,1,-4,-3
A2,10,1,-4,-3
A4,10,1,-4,-3
A2,10,1,-4,-3
A5,10,2,-4,-3
A2,10,1,-4,-3
A2,10,1,-4,-3
A3,10,2,-4,-3
A2,10,1,-4,-3
A4,10,2,-4,-3
A2,10,1,-4,-3
A5,10,3,-4,-3
A2,10,1,-4,-3
B5,9,1,-4,-3
A3,10,4,-4,-3
B5,9,1,-4,-3
A4,10,Infinity,-4,-3
A2,10,2,-4,-3
A4,10,2,-4,-3
A3,10,3,-4,-3
A4,10,2,-4,-3
A5,10,3,-4,-3
A4,10,2,-4,-3
B5,9,1,-4,-3
A5,10,5,-4,-3
B5,9,1,-4,-3
B4,9,1,-4,-3
A5,8,1,-4,-3
B2,7,-3,-4,-3
B5,7,-3,-3,2
B3,7,Infinity,-3,2
A2,8,Infinity,-3,2
A2,8,Infinity,-3,2
A3,8,-Infinity,-3,2
B2,9,Infinity,-3,2
A2,10,Infinity,-3,2
A4,10,-2,-3,2
A2,10,-2,-3,-2
A5,10,Infinity,-3,-2
A2,10,Infinity,-3,-2
A3,10,-4,-3,-2
A2,10,-4,-3,-2
A5,10,-4,-3,-2
A2,10,-4,-3,-2
B2,9,-4,-3,2
A3,8,-4,-3,2
B3,9,Infinity,-3,2
A2,10,Infinity,-3,2
A4,10,-8,-3,2
A2,10,-8,-3,2
B3,9,-8,-3,2
A3,8,-4,-3,2
B4,9,Infinity,-3,2
A2,10,Infinity,-3,2
A4,10,-7,-3,2
A2,10,-7,-3,2
B4,9,-7,-3,2
A3,8,-4,-3,2
B5,9,Infinity,-3,2
A2,10,Infinity,-3,2
A4,10,-7,-3,2
A2,10,-7,-3,2
B5,9,-7,-3,2
A3,8,-4,-3,2
A2,8,-4,-3,2
A2,8,-4,-3,2
B3,7,-4,-3,2
B5,7,-3,-3,2
B4,7,Infinity,-3,2
A2,8,Infinity,-3,2
A2,8,Infinity,-3,2
A3,8,-Infinity,-3,2
B2,9,Infinity,-3,2
A2,10,Infinity,-3,2
A4,10,-2,-3,2
A2,10,-2,-3,-2
A5,10,Infinity,-3,-2
A2,10,Infinity,-3,-2
A3,10,-4,-3,-2
A2,10,-4,-3,-2
A5,10,-4,-3,-2
A2,10,-4,-3,-2
B2,9,-4,-3,2
A3,8,-4,-3,2
B3,9,Infinity,-3,2
A2,10,Infinity,-3,2
A4,10,-8,-3,2
A2,10,-8,-3,2
B3,9,-8,-3,2
A3,8,-4,-3,2
B4,9,Infinity,-3,2
A2,10,Infinity,-3,2
A4,10,-8,-3,2
A2,10,-8,-3,2
B4,9,-8,-3,2
A3,8,-4,-3,2
B5,9,Infinity,-3,2
A2,10,Infinity,-3,2
A4,10,Infinity,-3,2
A2,10,Infinity,-3,2
A3,10,-9,-3,2
A2,10,-9,-3,2
A4,10,-9,-3,2
A2,10,-9,-3,2
B5,9,-9,-3,2
A3,8,-4,-3,2
A2,8,-4,-3,2
A2,8,-4,-3,2
B4,7,-4,-3,2
B5,7,-3,-3,2
B5,7,-Infinity,-3,2
B2,7,Infinity,-3,2
A2,8,Infinity,-3,2
A2,8,Infinity,-3,2
A3,8,-Infinity,-3,2
B2,9,Infinity,-3,2
A2,10,Infinity,-3,2
A4,10,1,-3,2
A2,10,1,-3,1
A5,10,2,-3,1
A2,10,1,-3,1
B2,9,1,-3,1
A4,10,3,-3,1
B2,9,1,-3,1
A5,10,3,-3,1
B2,9,1,-3,1
A3,8,1,1,2
B3,9,-Infinity,1,2
B2,9,Infinity,1,2
A2,10,Infinity,1,2
A4,10,2,1,2
A2,10,2,1,2
A5,10,3,1,2
A2,10,2,1,2
B2,9,2,1,2
A4,10,4,1,2
B2,9,2,1,2
A5,10,4,1,2
B2,9,2,1,2
B3,9,2,1,2
A3,8,2,1,2
A2,8,2,-3,2
A4,8,-Infinity,-3,2
B3,9,-Infinity,-3,2
B4,9,Infinity,-3,2
A3,10,3,-3,2
B4,9,3,-3,2
A4,10,4,-3,2
B4,9,3,-3,2
A5,10,4,-3,2
B4,9,3,-3,2
B3,9,3,-3,2
A4,8,3,-3,2
A2,8,2,-3,2
A5,8,-Infinity,-3,2
B2,9,Infinity,-3,2
A3,10,3,-3,2
B2,9,3,-3,2
A4,10,Infinity,-3,2
A2,10,Infinity,-3,2
A3,10,1,-3,2
A2,10,1,-3,1
A4,10,1,-3,1
A3,10,2,-3,1
A4,10,1,-3,1
B2,9,1,-3,1
A5,8,1,1,2
B3,9,-Infinity,1,2
B2,9,Infinity,1,2
A4,10,Infinity,1,2
A2,10,Infinity,1,2
A3,10,12,1,2
A2,10,12,1,2
A4,10,12,1,2
A3,10,8,1,2
A4,10,8,1,2
B2,9,8,1,2
B3,9,8,1,2
A5,8,8,1,2
A2,8,2,-3,2
A2,8,2,-3,2
A3,8,-Infinity,-3,2
B2,9,Infinity,-3,2
A2,10,3,-3,2
B2,9,3,-3,2
A4,10,4,-3,2
B2,9,3,-3,2
A5,10,4,-3,2
B2,9,3,-3,2
A3,8,3,-3,2
A2,8,2,-3,2
A4,8,-Infinity,-3,2
B2,9,Infinity,-3,2
A2,10,4,-3,2
B2,9,4,-3,2
A3,10,4,-3,2
B2,9,4,-3,2
A5,10,1,-3,2
B2,9,1,-3,1
A4,8,1,1,2
B3,9,-Infinity,1,2
B2,9,Infinity,1,2
A2,10,10,1,2
B2,9,10,1,2
A5,10,6,1,2
B2,9,6,1,2
B3,9,6,1,2
A4,8,6,1,2
A2,8,2,-3,2
A5,8,-Infinity,-3,2
B2,9,Infinity,-3,2
A2,10,Infinity,-3,2
A3,10,3,-3,2
A2,10,3,-3,2
A4,10,Infinity,-3,2
A2,10,Infinity,-3,2
A3,10,1,-3,2
A2,10,1,-3,1
A4,10,1,-3,1
A3,10,2,-3,1
A4,10,1,-3,1
A2,10,1,-3,1
B2,9,1,-3,1
A3,10,4,-3,1
B2,9,1,-3,1
A4,10,Infinity,-3,1
A2,10,3,-3,1
A4,10,3,-3,1
A3,10,3,-3,1
A4,10,3,-3,1
B2,9,1,-3,1
A5,8,1,1,2
B3,9,-Infinity,1,2
B2,9,Infinity,1,2
A2,10,Infinity,1,2
A4,10,Infinity,1,2
A2,10,Infinity,1,2
A3,10,12,1,2
A2,10,12,1,2
A4,10,12,1,2
A3,10,8,1,2
A4,10,8,1,2
A2,10,8,1,2
B2,9,8,1,2
A4,10,Infinity,1,2
A2,10,8,1,2
A4,10,8,1,2
A3,10,9,1,2
A4,10,8,1,2
B2,9,8,1,2
B3,9,8,1,2
A5,8,8,1,2
A2,8,2,-3,2
B2,7,2,-3,2
A3,8,Infinity,-3,2
A2,8,-Infinity,-3,2
B2,9,Infinity,-3,2
A2,10,Infinity,-3,2
A3,10,2,-3,2
A2,10,2,-3,2
A4,10,2,-3,2
A2,10,2,-3,2
A5,10,3,-3,2
A2,10,2,-3,2
B2,9,2,-3,2
A3,10,4,-3,2
B2,9,2,-3,2
A4,10,4,-3,2
B2,9,2,-3,2
A5,10,4,-3,2
B2,9,2,-3,2
A2,8,2,-3,2
A3,8,2,-3,2
A4,8,-Infinity,-3,2
B4,9,-Infinity,-3,2
B5,9,-6,-3,2
B4,9,-6,-3,2
A4,8,-6,-3,2
A3,8,-6,-3,2
B2,7,-6,-3,2
B5,7,-6,-3,2
B3,7,Infinity,-3,2
A2,8,Infinity,-3,2
A2,8,Infinity,-3,2
A3,8,-Infinity,-3,2
B2,9,Infinity,-3,2
A2,10,Infinity,-3,2
A4,10,-1,-3,2
A2,10,-1,-3,-1
A5,10,Infinity,-3,-1
A2,10,Infinity,-3,-1
A3,10,-3,-3,-1
A2,10,-3,-3,-1
A5,10,-3,-3,-1
A2,10,-3,-3,-1
B2,9,-3,-3,2
A3,8,-3,-3,2
B3,9,Infinity,-3,2
A2,10,Infinity,-3,2
A4,10,-7,-3,2
A2,10,-7,-3,2
B3,9,-7,-3,2
A3,8,-3,-3,2
B4,9,Infinity,-3,2
A2,10,Infinity,-3,2
A4,10,-6,-3,2
A2,10,-6,-3,2
B4,9,-6,-3,2
A3,8,-3,-3,2
B5,9,-Infinity,-3,2
B2,9,Infinity,-3,2
A2,10,Infinity,-3,2
A4,10,0,-3,2
A2,10,0,-3,0
A5,10,Infinity,-3,0
A2,10,Infinity,-3,0
A3,10,-2,-3,0
A2,10,-2,-3,-2
A4,10,Infinity,-3,-2
A2,10,Infinity,-3,-2
A3,10,Infinity,-3,-2
A2,10,2,-3,-2
A3,10,2,-3,-2
A2,10,2,-3,-2
A4,10,2,-3,-2
A3,10,Infinity,-3,-2
A2,10,4,-3,-2
A3,10,4,-3,-2
A4,10,2,-3,-2
A2,10,-2,-3,-2
A5,10,-2,-3,-2
A3,10,0,-3,-2
A5,10,-2,-3,-2
A4,10,Infinity,-3,-2
A2,10,-2,-3,-2
A4,10,-2,-3,-2
A3,10,Infinity,-3,-2
A2,10,6,-3,-2
A3,10,6,-3,-2
A4,10,-2,-3,-2
A5,10,-2,-3,-2
A2,10,-2,-3,-2
B2,9,-2,-3,-2
A4,10,2,-3,-2
B2,9,-2,-3,-2
A5,10,Infinity,-3,-2
A2,10,0,-3,-2
A5,10,0,-3,-2
A3,10,1,-3,-2
A5,10,0,-3,-2
A4,10,Infinity,-3,-2
A2,10,-1,-3,-2
A4,10,-1,-3,-2
A3,10,Infinity,-3,-2
A2,10,8,-3,-2
A3,10,8,-3,-2
A4,10,-1,-3,-2
A5,10,-1,-3,-2
B2,9,-2,-3,-2
B5,9,-2,-2,2
B3,9,Infinity,-2,2
A2,10,Infinity,-2,2
A4,10,-6,-2,2
A2,10,-6,-2,2
B3,9,-6,-2,2
B5,9,-2,-2,2
B4,9,Infinity,-2,2
A2,10,Infinity,-2,2
A4,10,-5,-2,2
A2,10,-5,-2,2
B4,9,-5,-2,2
B5,9,-2,-2,2
A3,8,-2,-2,2
A2,8,-2,-3,-2
A4,8,-Infinity,-3,-2
B3,9,Infinity,-3,-2
A3,10,-5,-3,-2
B3,9,-5,-3,-2
A4,8,-5,-3,-2
B4,9,Infinity,-3,-2
A3,10,-4,-3,-2
B4,9,-4,-3,-2
A4,8,-4,-3,-2
B5,9,-Infinity,-3,-2
B3,9,Infinity,-3,-2
A3,10,-4,-3,-2
B3,9,-4,-3,-2
B5,9,-4,-3,-2
B4,9,Infinity,-3,-2
A3,10,-3,-3,-2
B4,9,-3,-3,-2
B5,9,-3,-3,-2
A4,8,-3,-3,-2
A2,8,-3,-3,-2
A2,8,-3,-3,2
B3,7,-3,-3,2
B5,7,-3,-3,2
B4,7,Infinity,-3,2
A2,8,Infinity,-3,2
A2,8,Infinity,-3,2
A3,8,-Infinity,-3,2
B2,9,Infinity,-3,2
A2,10,Infinity,-3,2
A4,10,2,-3,2
A2,10,2,-3,2
A5,10,-1,-3,2
A2,10,-1,-3,-1
B2,9,-1,-3,-1
A4,10,4,-3,-1
B2,9,-1,-3,-1
A5,10,0,-3,-1
B2,9,-1,-3,-1
A3,8,-1,-1,2
B3,9,Infinity,-1,2
A2,10,Infinity,-1,2
A4,10,-4,-1,2
A2,10,-4,-1,2
B3,9,-4,-1,2
A3,8,-1,-1,2
B4,9,Infinity,-1,2
A2,10,Infinity,-1,2
A4,10,-4,-1,2
A2,10,-4,-1,2
B4,9,-4,-1,2
A3,8,-1,-1,2
B5,9,-Infinity,-1,2
B2,9,Infinity,-1,2
A2,10,Infinity,-1,2
A4,10,3,-1,2
A2,10,3,-1,2
A5,10,0,-1,2
A2,10,0,-1,0
B2,9,0,-1,0
A4,10,5,-1,0
B2,9,0,-1,0
A5,10,1,-1,0
B2,9,0,-1,0
B5,9,0,0,2
B3,9,Infinity,0,2
A2,10,Infinity,0,2
A4,10,-1,0,2
A2,10,-1,0,2
B3,9,-1,0,2
B5,9,0,0,2
B4,9,Infinity,0,2
A2,10,Infinity,0,2
A4,10,-1,0,2
A2,10,-1,0,2
B4,9,-1,0,2
B5,9,0,0,2
A3,8,0,0,2
A2,8,0,-3,0
A4,8,-Infinity,-3,0
B3,9,Infinity,-3,0
A3,10,-2,-3,0
B3,9,-2,-3,-2
A5,10,-4,-3,-2
B3,9,-4,-3,-2
A4,8,-4,-3,0
B4,9,Infinity,-3,0
A3,10,-2,-3,0
B4,9,-2,-3,-2
A5,10,-2,-3,-2
B4,9,-2,-3,-2
A4,8,-2,-2,0
B5,9,-Infinity,-2,0
B3,9,Infinity,-2,0
A3,10,1,-2,0
B3,9,1,-2,0
B5,9,1,-2,0
A4,8,1,-2,0
A2,8,0,-3,0
A5,8,-Infinity,-3,0
B2,9,-Infinity,-3,0
B3,9,-Infinity,-3,0
B4,9,Infinity,-3,0
A3,10,6,-3,0
B4,9,6,-3,0
A4,10,Infinity,-3,0
A2,10,Infinity,-3,0
A3,10,4,-3,0
A2,10,4,-3,0
A5,10,4,-3,0
A2,10,4,-3,0
A4,10,4,-3,0
A3,10,5,-3,0
A4,10,4,-3,0
A5,10,5,-3,0
A4,10,4,-3,0
B4,9,4,-3,0
A5,10,7,-3,0
B4,9,4,-3,0
B3,9,4,-3,0
B2,9,4,-3,0
A5,8,4,-3,0
A2,8,0,-3,0
A2,8,0,-3,0
A3,8,-Infinity,-3,0
B2,9,Infinity,-3,0
A2,10,4,-3,0
B2,9,4,-3,0
A4,10,5,-3,0
B2,9,4,-3,0
A5,10,1,-3,0
B2,9,1,-3,0
A3,8,1,-3,0
A2,8,0,-3,0
A4,8,-Infinity,-3,0
B2,9,-Infinity,-3,0
B3,9,-Infinity,-3,0
B4,9,Infinity,-3,0
A2,10,7,-3,0
B4,9,7,-3,0
A3,10,7,-3,0
B4,9,7,-3,0
A5,10,8,-3,0
B4,9,7,-3,0
B3,9,7,-3,0
B2,9,7,-3,0
A4,8,7,-3,0
A2,8,0,-3,0
A5,8,-Infinity,-3,0
B2,9,-Infinity,-3,0
B3,9,-Infinity,-3,0
B4,9,Infinity,-3,0
A2,10,Infinity,-3,0
A3,10,6,-3,0
A2,10,6,-3,0
A4,10,Infinity,-3,0
A2,10,Infinity,-3,0
A3,10,4,-3,0
A2,10,4,-3,0
A5,10,4,-3,0
A2,10,4,-3,0
A4,10,4,-3,0
A3,10,5,-3,0
A4,10,4,-3,0
A5,10,5,-3,0
A4,10,4,-3,0
A2,10,4,-3,0
A5,10,7,-3,0
A2,10,4,-3,0
B4,9,4,-3,0
A3,10,7,-3,0
B4,9,4,-3,0
A4,10,Infinity,-3,0
A2,10,6,-3,0
A4,10,6,-3,0
A3,10,6,-3,0
A4,10,6,-3,0
A5,10,6,-3,0
A4,10,6,-3,0
B4,9,4,-3,0
A5,10,8,-3,0
B4,9,4,-3,0
B3,9,4,-3,0
B2,9,4,-3,0
A5,8,4,-3,0
A2,8,0,-3,0
B4,7,0,-3,0
A3,8,Infinity,-3,0
A2,8,-Infinity,-3,0
B2,9,Infinity,-3,0
A2,10,Infinity,-3,0
A3,10,3,-3,0
A2,10,3,-3,0
A4,10,3,-3,0
A2,10,3,-3,0
A5,10,4,-3,0
A2,10,3,-3,0
B2,9,3,-3,0
A3,10,5,-3,0
B2,9,3,-3,0
A4,10,5,-3,0
B2,9,3,-3,0
A5,10,5,-3,0
B2,9,3,-3,0
A2,8,3,-3,0
A3,8,3,-3,0
A4,8,-Infinity,-3,0
B2,9,Infinity,-3,0
A2,10,3,-3,0
B2,9,3,-3,0
A4,8,3,-3,0
A3,8,3,-3,0
B4,7,0,-3,0
A4,8,-Infinity,-3,0
B2,9,Infinity,-3,0
A2,10,Infinity,-3,0
A2,10,Infinity,-3,0
A3,10,4,-3,0
A2,10,4,-3,0
A4,10,5,-3,0
A2,10,4,-3,0
A5,10,5,-3,0
A2,10,4,-3,0
A2,10,4,-3,0
A3,10,5,-3,0
A2,10,4,-3,0
A4,10,6,-3,0
A2,10,4,-3,0
A5,10,6,-3,0
A2,10,4,-3,0
B2,9,4,-3,0
A3,10,7,-3,0
B2,9,4,-3,0
A4,8,4,-3,0
B4,7,0,-3,0
B5,7,0,0,2
B5,7,0,0,2
B4,7,0,0,2
B3,7,0,0,2
B5,7,Infinity,0,2
A2,8,Infinity,0,2
A2,8,Infinity,0,2
A3,8,-Infinity,0,2
B2,9,Infinity,0,2
A2,10,Infinity,0,2
A4,10,-1,0,2
A2,10,-1,0,2
B2,9,-1,0,2
A3,8,-1,0,2
B3,9,Infinity,0,2
A2,10,Infinity,0,2
A4,10,-7,0,2
A2,10,-7,0,2
B3,9,-7,0,2
A3,8,-1,0,2
B4,9,Infinity,0,2
A2,10,Infinity,0,2
A4,10,Infinity,0,2
A2,10,Infinity,0,2
A3,10,-8,0,2
A2,10,-8,0,2
A4,10,-8,0,2
A2,10,-8,0,2
B4,9,-8,0,2
A3,8,-1,0,2
B5,9,-Infinity,0,2
B2,9,Infinity,0,2
A2,10,Infinity,0,2
A4,10,0,0,2
A2,10,0,0,2
B2,9,0,0,2
B5,9,0,0,2
B3,9,Infinity,0,2
A2,10,Infinity,0,2
A4,10,-4,0,2
A2,10,-4,0,2
B3,9,-4,0,2
B5,9,0,0,2
B4,9,Infinity,0,2
A2,10,Infinity,0,2
A4,10,Infinity,0,2
A2,10,Infinity,0,2
A3,10,-7,0,2
A2,10,-7,0,2
A4,10,-7,0,2
A2,10,-7,0,2
B4,9,-7,0,2
B5,9,0,0,2
A3,8,0,0,2
A2,8,0,0,2
A2,8,0,0,2
B5,7,0,0,2
B3,7,0,0,2
A4,6,0,0,2
B4,7,Infinity,0,2
A2,8,-Infinity,0,2
B3,9,Infinity,0,2
A3,10,Infinity,0,2
A2,10,Infinity,0,2
A4,10,-8,0,2
A2,10,-8,0,2
A3,10,-8,0,2
B3,9,-8,0,2
A2,8,-8,0,2
B4,9,Infinity,0,2
A3,10,Infinity,0,2
A2,10,Infinity,0,2
A4,10,-13,0,2
A2,10,-13,0,2
A3,10,-13,0,2
B4,9,-13,0,2
A2,8,-8,0,2
B5,9,-Infinity,0,2
B2,9,Infinity,0,2
A2,10,Infinity,0,2
A3,10,-6,0,2
A2,10,-6,0,2
B2,9,-6,0,2
B5,9,-6,0,2
B3,9,Infinity,0,2
A2,10,Infinity,0,2
A3,10,-5,0,2
A2,10,-5,0,2
B3,9,-5,0,2
B5,9,-5,0,2
B4,9,-Infinity,0,2
B2,9,Infinity,0,2
A2,10,Infinity,0,2
A3,10,-5,0,2
A2,10,-5,0,2
B2,9,-5,0,2
B4,9,-5,0,2
B3,9,Infinity,0,2
A2,10,Infinity,0,2
A3,10,-4,0,2
A2,10,-4,0,2
B3,9,-4,0,2
B4,9,-4,0,2
B5,9,Infinity,0,2
A2,10,Infinity,0,2
A3,10,-4,0,2
A2,10,-4,0,2
B5,9,-4,0,2
B4,9,-4,0,2
B5,9,-4,0,2
B5,9,-Infinity,0,2
B2,9,Infinity,0,2
A2,10,Infinity,0,2
A3,10,-5,0,2
A2,10,-5,0,2
B2,9,-5,0,2
B5,9,-5,0,2
B3,9,Infinity,0,2
A2,10,Infinity,0,2
A3,10,-4,0,2
A2,10,-4,0,2
B3,9,-4,0,2
B5,9,-4,0,2
B4,9,-Infinity,0,2
B2,9,Infinity,0,2
A2,10,Infinity,0,2
A3,10,-4,0,2
A2,10,-4,0,2
B2,9,-4,0,2
B4,9,-4,0,2
B3,9,Infinity,0,2
A2,10,Infinity,0,2
A3,10,-3,0,2
A2,10,-3,0,2
B3,9,-3,0,2
B4,9,-3,0,2
B5,9,-Infinity,0,2
B2,9,Infinity,0,2
A2,10,Infinity,0,2
A3,10,-3,0,2
A2,10,-3,0,2
B2,9,-3,0,2
B5,9,-3,0,2
B3,9,Infinity,0,2
A2,10,Infinity,0,2
A3,10,-2,0,2
A2,10,-2,0,2
B3,9,-2,0,2
B5,9,-2,0,2
B4,9,-2,0,2
B5,9,-2,0,2
B5,9,-2,0,2
A2,8,-2,0,2
B4,7,-2,0,2
A4,6,0,0,2
B5,7,Infinity,0,2
A2,8,Infinity,0,2
A2,8,Infinity,0,2
A3,8,-Infinity,0,2
B2,9,Infinity,0,2
A2,10,Infinity,0,2
A4,10,-5,0,2
A2,10,-5,0,2
B2,9,-5,0,2
A3,8,-5,0,2
B3,9,Infinity,0,2
A2,10,Infinity,0,2
A4,10,Infinity,0,2
A2,10,Infinity,0,2
A3,10,-12,0,2
A2,10,-12,0,2
A4,10,-12,0,2
A2,10,-12,0,2
B3,9,-12,0,2
A3,8,-5,0,2
B4,9,Infinity,0,2
A2,10,Infinity,0,2
A4,10,-10,0,2
A2,10,-10,0,2
B4,9,-10,0,2
A3,8,-5,0,2
B5,9,-Infinity,0,2
B2,9,Infinity,0,2
A2,10,Infinity,0,2
A4,10,-4,0,2
A2,10,-4,0,2
B2,9,-4,0,2
B5,9,-4,0,2
B3,9,Infinity,0,2
A2,10,Infinity,0,2
A4,10,Infinity,0,2
A2,10,Infinity,0,2
A3,10,-11,0,2
A2,10,-11,0,2
A4,10,-11,0,2
A2,10,-11,0,2
B3,9,-11,0,2
B5,9,-4,0,2
B4,9,Infinity,0,2
A2,10,Infinity,0,2
A4,10,-9,0,2
A2,10,-9,0,2
B4,9,-9,0,2
B5,9,-4,0,2
A3,8,-4,0,2
A2,8,-4,0,2
A2,8,-4,0,2
B5,7,-4,0,2
A4,6,0,0,2
A3,6,0,-5,0
A5,6,-Infinity,-5,0
B2,7,Infinity,-5,0
A2,8,-Infinity,-5,0
B2,9,Infinity,-5,0
A4,10,-9,-5,0
B2,9,-9,-5,0
A2,8,-9,-5,0
B4,9,Infinity,-5,0
A4,10,-9,-5,0
B4,9,-9,-5,0
A2,8,-9,-5,0
B5,9,Infinity,-5,0
A2,10,Infinity,-5,0
A3,10,-9,-5,0
A2,10,-9,-5,0
B5,9,-9,-5,0
A2,8,-9,-5,0
B2,7,-9,-5,0
A5,6,-9,-5,0
B3,7,Infinity,-5,0
A2,8,-Infinity,-5,0
B2,9,Infinity,-5,0
A4,10,-9,-5,0
B2,9,-9,-5,0
A2,8,-9,-5,0
B4,9,-Infinity,-5,0
B2,9,Infinity,-5,0
A5,10,18,-5,0
B2,9,18,-5,0
B4,9,18,-5,0
A2,8,18,-5,0
B3,7,18,-5,0
A4,8,-Infinity,-5,0
B2,9,Infinity,-5,0
A2,10,-14,-5,0
B2,9,-14,-5,0
A4,8,-14,-5,0
B3,9,Infinity,-5,0
A2,10,-16,-5,0
B3,9,-16,-5,0
A4,8,-14,-5,0
B4,9,-Infinity,-5,0
B2,9,Infinity,-5,0
A2,10,-12,-5,0
B2,9,-12,-5,0
B4,9,-12,-5,0
B3,9,Infinity,-5,0
A2,10,-14,-5,0
B3,9,-14,-5,0
B4,9,-12,-5,0
B5,9,-Infinity,-5,0
B2,9,Infinity,-5,0
A2,10,-11,-5,0
B2,9,-11,-5,0
B5,9,-11,-5,0
B3,9,Infinity,-5,0
A2,10,-13,-5,0
B3,9,-13,-5,0
B5,9,-11,-5,0
B4,9,-11,-5,0
A4,8,-11,-5,0
B3,7,-11,-5,0
A5,6,-9,-5,0
B5,7,Infinity,-5,0
A2,8,-Infinity,-5,0
B3,9,Infinity,-5,0
A3,10,Infinity,-5,0
A2,10,Infinity,-5,0
A4,10,-6,-5,0
A2,10,-6,-5,0
A3,10,-6,-5,0
B3,9,-6,-5,0
A2,8,-6,-5,0
B4,9,Infinity,-5,0
A3,10,Infinity,-5,0
A2,10,Infinity,-5,0
A4,10,-7,-5,0
A2,10,-7,-5,0
A3,10,-7,-5,0
B4,9,-7,-5,0
A2,8,-6,-5,0
B5,9,-Infinity,-5,0
B3,9,Infinity,-5,0
A3,10,Infinity,-5,0
A2,10,Infinity,-5,0
A4,10,-5,-5,0
A2,10,-5,-5,0
A3,10,-5,-5,0
B3,9,-5,-5,0
B5,9,-5,-5,0
B4,9,Infinity,-5,0
A3,10,Infinity,-5,0
A2,10,Infinity,-5,0
A4,10,-3,-5,0
A2,10,-3,-5,-3
A3,10,-3,-5,-3
A4,10,-2,-5,-3
A3,10,-3,-5,-3
B4,9,-3,-5,-3
A4,10,-1,-5,-3
B4,9,-3,-5,-3
B5,9,-3,-3,0
A2,8,-3,-3,0
B5,7,-3,-5,-3
A3,8,-Infinity,-5,-3
B2,9,Infinity,-5,-3
A2,10,Infinity,-5,-3
A2,10,Infinity,-5,-3
A3,10,6,-5,-3
A2,10,6,-5,-3
A4,10,8,-5,-3
A2,10,6,-5,-3
A5,10,8,-5,-3
A2,10,6,-5,-3
A2,10,6,-5,-3
A3,10,9,-5,-3
A2,10,6,-5,-3
A4,10,9,-5,-3
A2,10,6,-5,-3
A5,10,9,-5,-3
A2,10,6,-5,-3
B2,9,6,-5,-3
A5,10,10,-5,-3
B2,9,6,-5,-3
A3,8,6,-5,-3
B5,7,-3,-5,-3
A4,8,-Infinity,-5,-3
B2,9,Infinity,-5,-3
A2,10,Infinity,-5,-3
A2,10,Infinity,-5,-3
A3,10,-6,-5,-3
A2,10,-6,-5,-3
A2,10,-6,-5,-3
B2,9,-6,-5,-3
A4,8,-6,-5,-3
B3,9,Infinity,-5,-3
A2,10,Infinity,-5,-3
A2,10,Infinity,-5,-3
A3,10,-5,-5,-3
A2,10,-5,-5,-3
A2,10,-5,-5,-3
B3,9,-5,-5,-3
A4,8,-5,-5,-3
B5,9,-Infinity,-5,-3
B2,9,Infinity,-5,-3
A2,10,Infinity,-5,-3
A2,10,Infinity,-5,-3
A3,10,-2,-5,-3
A2,10,-2,-5,-3
A4,10,-1,-5,-3
A2,10,-2,-5,-3
A5,10,-1,-5,-3
A2,10,-2,-5,-3
A2,10,-2,-5,-3
A3,10,-1,-5,-3
A2,10,-2,-5,-3
A4,10,0,-5,-3
A2,10,-2,-5,-3
A5,10,0,-5,-3
A2,10,-2,-5,-3
B2,9,-2,-5,-3
A3,10,Infinity,-5,-3
A2,10,-1,-5,-3
A3,10,-1,-5,-3
B2,9,-2,-5,-3
B5,9,-2,-5,-3
A4,8,-2,-5,-3
B5,7,-3,-5,-3
A5,8,-Infinity,-5,-3
B2,9,Infinity,-5,-3
A2,10,9,-5,-3
